"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
2163617,"November 9, 2021","South Dakota",Scotland,"710 2nd St",2,3,0,0,1,N/A
2162196,"November 8, 2021",Texas,Victoria,"10700 FM 236",1,3,0,0,1,N/A
2162269,"November 8, 2021",Pennsylvania,Philadelphia,"200 block of E Louden St",4,0,0,0,0,N/A
2161323,"November 7, 2021",Wisconsin,Kenosha,"625 57th St",3,1,0,0,0,N/A
2161116,"November 6, 2021",California,Oakley,"33 Malicoat Ave",2,2,0,0,1,N/A
2160608,"November 6, 2021",Texas,Marshall,"510 S Alamo Blvd",6,0,0,0,2,N/A
2161078,"November 6, 2021",California,Highland,"26998 3rd St",4,0,0,0,0,N/A
2160838,"November 5, 2021",California,Oakland,"8400 block of International Blvd",3,1,0,0,0,N/A
2158417,"November 3, 2021",Virginia,Norfolk,"821 Whitaker Ln",2,3,0,0,1,N/A
2158524,"November 3, 2021",Iowa,"Des Moines","11300 block of E 15th St",4,0,0,0,0,N/A
2157991,"November 2, 2021",Alabama,Mobile,"4120 Government Blvd",4,0,0,0,1,N/A
2156175,"November 1, 2021",Florida,Orlando,"N Orange Ave and Wall St",4,0,0,0,0,N/A
2157206,"November 1, 2021",Texas,"San Antonio","1900 block of W Laurel St",4,0,0,0,0,N/A
2155369,"October 31, 2021",Kentucky,Louisville,"6210 Shepherdsville Rd",2,2,0,0,0,N/A
2155517,"October 31, 2021",Colorado,"Littleton (Lakewood)","6200 block of Alameda Ave",2,2,0,0,0,N/A
2155428,"October 31, 2021",Illinois,Flossmoor,"3800 block of Ballantrae Way",3,1,0,0,0,N/A
2155282,"October 31, 2021",Texas,Houston,"1909 Schilder Dr",3,1,0,0,0,N/A
2155329,"October 31, 2021",Illinois,Joliet,"1018 E Jackson St",11,3,0,0,4,N/A
2156001,"October 31, 2021",Texas,"Fort Worth","3700 block of Lebow St",3,1,0,0,2,N/A
2154851,"October 30, 2021",California,Gilroy,"400 block of Las Animas Ave",2,2,0,0,1,N/A
2154422,"October 30, 2021",Illinois,Decatur,"1100 block of N Union St",4,0,0,0,0,N/A
2154441,"October 30, 2021",Oklahoma,"Oklahoma City","NW 122nd St and N Council Rd",4,0,0,0,0,N/A
2154873,"October 30, 2021",California,Sacramento,"5560 Palm Ave",5,2,0,0,1,N/A
2155172,"October 30, 2021",Florida,"Saint Petersburg","1079 62nd Ave S",4,1,0,0,1,N/A
2155001,"October 30, 2021",Texas,Texarkana,"2315 Texas Blvd",9,1,0,0,2,N/A
2154283,"October 29, 2021","New York",Poughkeepsie,"32 Cannon St",5,0,0,0,2,N/A
2155826,"October 29, 2021",Michigan,Kalamazoo,"3082 S 9th St",4,0,0,0,0,N/A
2153285,"October 28, 2021",Nevada,"Las Vegas","3900 block of E Cheyenne Ave",4,0,0,0,0,N/A
2153779,"October 28, 2021",Tennessee,Nashville,"210 N 9th St",3,1,0,0,0,N/A
2150274,"October 25, 2021",Idaho,Boise,"350 N Milwaukee St",3,2,0,1,0,N/A
2154085,"October 24, 2021",California,Gonzales,"Foletta Rd",2,2,0,0,2,N/A
2150037,"October 24, 2021",Mississippi,Crenshaw,"413 Jones St",3,2,0,0,2,N/A
2148921,"October 23, 2021","South Carolina",Florence,"811 S Irby St",6,0,0,0,0,N/A
2148891,"October 23, 2021",California,Ontario,"700 block of E Bonnie Brae Ct",4,1,0,0,0,N/A
2148633,"October 23, 2021",Georgia,"Fort Valley","603 Carver Dr",7,1,0,0,0,N/A
2148282,"October 22, 2021",Illinois,Chicago,"7901 S Cottage Grove Ave",5,0,0,0,0,N/A
2148946,"October 22, 2021",Washington,Renton,"16420 SE 128th St",4,0,0,0,0,N/A
2148401,"October 22, 2021",Maryland,Baltimore,"3100 block of W North Ave",7,0,0,0,0,N/A
2147114,"October 21, 2021","New York",Brooklyn,"3008 Glenwood Rd",4,0,0,0,0,N/A
2147301,"October 21, 2021",Washington,Tacoma,"4258 Everett St",0,4,0,0,1,N/A
2147042,"October 20, 2021",Michigan,Farwell,"9539 S Harrison Ave",0,4,0,0,1,N/A
2145931,"October 19, 2021",Wisconsin,Kenosha,"610 40th Pl",2,2,0,1,0,N/A
2143277,"October 17, 2021",Louisiana,Grambling,"403 Main St",7,1,0,0,2,N/A
2143113,"October 17, 2021",Missouri,"Saint Louis","8600 block of Goodfellow Blvd",3,1,0,0,2,N/A
2143765,"October 17, 2021",Texas,Houston,"1900 block of Dolly Wright St",7,0,0,0,0,N/A
2143889,"October 17, 2021",Colorado,"Colorado Springs","1865 N Academy Blvd",5,0,0,0,0,N/A
2144160,"October 17, 2021",Wisconsin,Racine,"Yout St and Carter St",6,0,0,0,0,N/A
2143479,"October 17, 2021",Arkansas,"Pine Bluff","820 S Main St",8,1,1,0,0,N/A
2143499,"October 17, 2021",Arkansas,"Pine Bluff","University Dr and Pullen Ave",3,1,0,0,0,N/A
2143605,"October 17, 2021",Mississippi,Jackson,"3243 Medgar Evers Blvd",3,3,0,0,0,N/A
2142402,"October 16, 2021",Texas,Killeen,"308 S Second St",3,1,0,0,0,N/A
2142296,"October 15, 2021",Alabama,Mobile,"1621 Virginia St",5,0,0,0,3,N/A
2142092,"October 14, 2021",Minnesota,Minneapolis,"814 E Franklin Ave",4,1,0,0,0,N/A
2155043,"October 14, 2021",Mississippi,Mccomb,"1300 14th St",6,0,0,0,0,N/A
2139048,"October 12, 2021",Florida,Naples,"700 block of 99th Ave",3,1,2,0,3,N/A
2139674,"October 12, 2021",Mississippi,Meridian,"2000 block of 17th St",1,3,0,0,0,N/A
2139198,"October 11, 2021",Georgia,Atlanta,"4900 Delano Rd",6,0,0,0,0,N/A
2137321,"October 10, 2021","South Carolina","Mc Coll (Mccoll)","4181 Hwy 15-401",3,2,0,0,5,N/A
2137561,"October 10, 2021",Iowa,"Sioux City","427 Pierce St",4,0,0,0,0,N/A
2137198,"October 10, 2021",Minnesota,"Saint Paul","214 7th St W",12,1,3,0,3,N/A
2137179,"October 10, 2021",Illinois,Chicago,"1565 N Milwaukee Ave",4,0,0,1,1,N/A
2137555,"October 10, 2021",Delaware,Dover,"1500 block of Nathaniel Mitchell Rd",4,1,0,0,0,N/A
2136907,"October 9, 2021",Louisiana,Livingston,"17000 block of LA-444",3,2,1,0,1,N/A
2137291,"October 9, 2021",Texas,Dallas,"3000 block of South Blvd",4,0,0,0,0,N/A
2137575,"October 9, 2021","New York",Albany,"100 block of North Lake Ave",6,1,0,0,0,N/A
2137464,"October 9, 2021",Colorado,Denver,"7300 block of E 22nd Ave",3,1,0,0,0,N/A
2136230,"October 8, 2021",Maryland,Baltimore,"2600 block of Jefferson St",4,0,0,0,0,N/A
2136270,"October 8, 2021","District of Columbia",Washington,"1700 block of Independence Ave SE",3,1,0,0,0,N/A
2135536,"October 8, 2021",Alabama,Montgomery,"1800 block of Cotton Ct",3,1,0,0,0,N/A
2135508,"October 7, 2021",Wisconsin,Milwaukee,"W Cherry St and N 8th St",1,3,0,0,0,N/A
2134657,"October 7, 2021",Illinois,Chicago,"900 block of N Orleans St",4,0,0,0,0,N/A
2135498,"October 7, 2021",Wisconsin,Milwaukee,"2400 block of N 37th St",5,0,0,0,0,N/A
2135666,"October 7, 2021",Louisiana,"New Orleans","S Robertson St and Martin Luther King Jr Blvd",4,1,0,0,0,N/A
2134217,"October 6, 2021",Maryland,Baltimore,"1243 Patterson Park Ave",5,1,0,0,0,N/A
2134359,"October 6, 2021",Louisiana,"New Orleans","603 General Taylor",2,2,0,0,1,N/A
2136132,"October 6, 2021",Ohio,Cleveland,"9200 block of Marshall Ave",4,0,0,0,0,N/A
2135659,"October 6, 2021",Ohio,Cleveland,"Marshall Ave and E 93rd St",4,0,0,0,0,N/A
2133962,"October 5, 2021",Illinois,Rockford,"400 block of S Independence Ave",3,1,0,0,0,N/A
2133137,"October 5, 2021",Minnesota,"Saint Paul","922 Thomas Ave W",4,0,0,0,1,N/A
2132656,"October 4, 2021",Minnesota,Minneapolis,"626 W Broadway Ave",4,0,0,0,0,N/A
2131471,"October 3, 2021","South Carolina",Bishopville,"1113 Sumter Hwy",4,1,0,0,0,N/A
2131406,"October 2, 2021",Texas,"San Antonio","6222 S New Braunfels Ave",3,1,0,0,0,N/A
2130634,"October 2, 2021",Colorado,Aurora,"12230 E Colfax Ave",3,1,0,0,2,N/A
2130763,"October 1, 2021",Iowa,"Cedar Rapids","525 33rd Ave SW",6,0,0,0,1,N/A
2130370,"October 1, 2021","District of Columbia",Washington,"Forrester St SW and Galveston Pl SW",5,1,0,0,0,N/A
2128682,"September 29, 2021",Illinois,Chicago,"800 block of N Milwaukee Ave",4,0,1,0,0,N/A
2128023,"September 28, 2021",Minnesota,Minneapolis,"2700 block of Bloomington Ave",3,1,0,0,0,N/A
2127374,"September 28, 2021",Illinois,Chicago,"6500 block of S Calumet Ave",3,1,0,0,0,N/A
2126747,"September 27, 2021","New York","New York (Manhattan)","3964 10th Ave",4,0,1,0,1,N/A
2126450,"September 27, 2021",Illinois,Chicago,"826 N Ridgeway Ave",3,1,0,0,0,N/A
2125790,"September 26, 2021",Illinois,Chicago,"800 block of S Albany Ave",6,0,0,0,1,N/A
2125953,"September 26, 2021",California,Oakland,"1400 block of 8th Ave",4,0,0,0,0,N/A
2126261,"September 26, 2021",Washington,"Seattle (Des Moines)","22855 Pacific Hwy S",3,3,0,0,1,N/A
2125613,"September 25, 2021","New York",Utica,"800 block of Mohawk St",4,0,0,0,0,N/A
2125444,"September 25, 2021",Tennessee,Athens,"Co Rd 60",1,4,0,0,2,N/A
2126241,"September 25, 2021",Tennessee,Chattanooga,"1124 Grove St",5,2,0,0,0,N/A
2125227,"September 25, 2021",California,Riverside,"6000 Block of Mariposa Ave",6,0,0,0,0,N/A
2124396,"September 24, 2021","South Carolina",Aiken,"749 Silver Bluff Rd",1,3,0,1,0,N/A
2124887,"September 24, 2021",California,"Los Angeles","11724 Wilmington Ave",4,0,0,0,2,N/A
2123395,"September 23, 2021",Tennessee,Collierville,"240 New Byhalia Rd",14,1,0,1,0,N/A
2123301,"September 23, 2021",Pennsylvania,Philadelphia,"38th St and Aspen St",4,0,0,0,0,N/A
2122565,"September 22, 2021","North Carolina",Fayetteville,"1100 block of Charlie Dr",2,2,0,0,0,N/A
2121381,"September 21, 2021","District of Columbia",Washington,"2200 block of Alabama Ave SE",5,0,0,0,0,N/A
2120940,"September 20, 2021",Pennsylvania,Philadelphia,"Broad St and Chew Ave",5,1,0,0,0,N/A
2121031,"September 20, 2021",Missouri,"Saint Louis","2000 block of St Charles St",3,1,0,0,0,N/A
2119583,"September 19, 2021","New York",Rochester,"300 block of Driving Park Ave",2,2,0,0,1,N/A
2119701,"September 19, 2021",Florida,Miami,"14900 block of Pierce St",4,0,0,0,1,N/A
2119736,"September 19, 2021",California,Oakland,"300 block of 17th St",3,1,0,0,0,N/A
2119745,"September 19, 2021",Texas,Dallas,"100 block of N Malcolm X Blvd",4,2,0,0,2,N/A
2119609,"September 19, 2021",Illinois,Chicago,"900 block of N Massasoit Ave",5,0,0,0,0,N/A
2119950,"September 19, 2021","South Carolina",Yemassee,"145 Yemassee Hwy",7,1,0,0,4,N/A
2119470,"September 18, 2021","New York",Bronx,"Teller Ave and E 172nd St",3,1,0,0,0,N/A
2119101,"September 18, 2021",Illinois,Danville,"3164 E Main St",2,2,0,0,2,N/A
2119478,"September 18, 2021",Louisiana,Opelousas,"500 block of Sapphire St",5,0,0,0,0,N/A
2118451,"September 17, 2021",Georgia,Augusta,"519 Broad St",4,0,0,0,2,N/A
2116343,"September 14, 2021",Maryland,Baltimore,"1700 block of N Milton Ave",4,0,0,0,0,N/A
2116205,"September 14, 2021",Ohio,Cleveland,"2747 Cedar Ave",6,0,0,0,0,N/A
2115522,"September 13, 2021",Wisconsin,Milwaukee,"3073 N Sherman Blvd",5,0,0,0,0,N/A
2115947,"September 12, 2021",Minnesota,"Saint Paul","7th St W and N Walnut St",0,4,0,0,1,N/A
2114626,"September 12, 2021",Texas,Temple,"900 block of S 24th St",4,0,0,0,1,N/A
2122103,"September 12, 2021",Illinois,"Blue Island","12200 block of S Irving Ave",2,2,0,0,0,N/A
2114481,"September 12, 2021",Michigan,Detroit,"2700 block of Halleck St",4,2,0,0,0,N/A
2114510,"September 11, 2021",Alabama,Dothan,"2000 Reeves St",5,0,0,0,0,N/A
2114583,"September 11, 2021","New York",Utica,"700 block of Noyes St",3,1,0,0,1,N/A
2113623,"September 11, 2021",Illinois,Chicago,"900 block of E 79th St",3,1,0,0,0,N/A
2113841,"September 11, 2021",Illinois,Chicago,"300 block of E Kensington Ave",4,2,0,0,0,N/A
2113769,"September 11, 2021","New Jersey",Paterson,"E 18th St and Fulton Pl",4,0,0,0,0,N/A
2112450,"September 10, 2021",Florida,Orlando,"5526 S Orange Blossom Trl",4,0,0,0,0,N/A
